title,text_reviews_count,average_rating,description,authors,publisher,num_pages,publication_year,book_id,ratings_count,author_name,book_size
Healer's Curse,7,4.27,"Lady Elilan heals people. Or does she?
The fever is back, and people in Northern Marst are dying. After Elilan's husband dies under her care, she abandons her divine gift of healing. What good is the ""gift"" if she can't save those she loves?
Her faith is put to the test when the king commands her to nurse a seriously wounded enemy soldier back to health. Will she rely on her knowledge of medicine or entrust her patient's life--and her good name--to the One who gave her the gift she has neglected? Elilan must decide what she really believes when death threatens again.
Healer's Curseis a companion novella in the Mardan's Mark series. Read it before or after Mardan's Mark (Book One).",11210712,,134.0,2015.0,25366765,8,Kathrese McKee,small
A Goddess' Curse,8,4.8,"Hera, Queen of the Gods, is the most powerful goddess on Mount Olympos. Beautiful, sensual, and merciless, she is a goddess renowned for her jealous rages and for inflicting horrors on hapless victims. She's the protector of women, virtue, family and marriage yet her husband, Zeus, has had countless affairs. She puts up with it. Why? Is she really malicious or a product of circumstance?
For the first time ever in a candid interview, Hera shares what it's like to be a goddess and wife to Zeus, the King of the Gods.
Drake Dabbler, chat show host, sees his exclusive interview with Queen Hera as a sure road to a Daytime Emmy... He should have been more thorough in his research.",6567841,Mythos Publications,37.0,2013.0,17665483,9,Luciana Cavallaro,small
Second Impressions,6,4.4,"Jane Austen's stories have inspired writers for generations...in this collection they inspire fiction across the genres! From the English Regency to the American 1950s, in Houston or a space freighter, fairytale land or a retirement center...Austen's timeless characters come to life again.",16816554,CreateSpace,222.0,2017.0,35062852,7,Hannah Scheele,small
"No Test for the Wicked (Lexi Carmichael Mystery, #5)",52,4.43,"A Geek's Worst Nightmare: Going Back to High School
Returning to high school is not something I ever wanted to do over--it was awful the first time around. So why do I have to go back as part of a new undercover assignment? Because the universe loves playing jokes on me, obviously.
I've been ordered to go all 21 Jump Streetand track down the students who are breaking into the computer system, changing grades, and causing all kinds of havoc. Although I'm not thrilled about my new gig, at least it gives me something to do other than worry over the fact that I now have a boyfriend. And no freaking idea what to get him for Christmas.
Or it did give me something else to worry about, until I stumbled across a more sinister threat. I was shocked to find distinct traces of a group of international hackers inside the network. Why would dangerous cyber mercenaries be interested in a high school in the middle of Washington, D.C.? What exactly have I gotten myself into?
Don't miss Lexi's first case in No One Lives Twice!
81,000 words",190485,,331.0,,22738140,797,Julie Moffett,medium
Monica The Monkey Saves The Day,7,4.75,"***Vivid, Full-Color Children's Picture Book with Kindle Text Pop-Up***
Monica the Monkey is tired of being different--especially since all of the other monkeys in the jungle make fun of her. Poor Monica! She feels like she'll never be able to win the respect of the other monkeys.
But what happens when the jungle monkeys find themselves in a terrifying predicament--and Monica is the only one who can save the day? As Monica learns, being different is actually a wonderful thing!
Give Your Child A Head Start in Life!
The Jungle Juniors(tm) Storybook series is designed to enhance your child's self-esteem, self-reliance and build positive social interactions.
Our mission is to help give your child a head start to make a successful transition from home to classroom.
Jungle Juniors(tm) Storybook Series
The books can be read in any order.
Lucas The Lion & The Pirate Ship
Monica The Monkey Saves The Day
Ryan The Rabbit's Big Move
An Early Learning Program By The Essential Library(tm)
Jungle Juniors(tm) is an early learning program developed by The Essential Library to help build reading, critical reasoning and socialization skills for young children. Since 2000, The Essential Library has been dedicated to publishing the best in both classic and contemporary novels, poetry and non-fiction. We delight, entertain and inform today's readers.",4954620,The Essential Library,28.0,2014.0,23307444,8,Rachel Michaels,small
Dawn of the Bunny Suicides,62,4.17,"Loads of little rabbits killing themselves in unthinkable ways, the likes of which (we hope) you've never seen before.",32674,Hodder & Stoughton,160.0,2010.0,9542800,555,Andy Riley,small
Den oändliga historien,8,4.18,"Bastian Balthasar Bux ar en pojke i 11-arsaldern som inte trivs nat vidare i skolan. En dag kanner Bastian att han bara maste stjala boken ""Den oandliga historien"" av herr Koreander. En forunderlig bok som Bastian satter sig uppe pa skolvinden for att lasa.
Landet Fantasien ar i fara, barnakejsarinnan ar sjuk och kan bara bli frisk om hon far ett nytt namn! Pojken Atreju ar den som far i uppdrag att hitta ett nytt namn till henne. Atreju fardas over Sorgmodets karr, han ska ta sig forbi sfinxer och passera genom Trollspegelns port! Det ar manga svarigheter Atreju maste ga igenom men han har ju sallskap av lyckodraken Fuchur och amuletten Auryn om halsen...",15619,Berghs forlag,471.0,1981.0,11191976,76,Michael Ende,medium
Let it Go: Forgive So You Can Be Forgiven,70,4.31,"T.D. Jakes, New York Times bestselling author of Reposition Yourself, Making Great Decisions, and more than a dozen other titles, now presents this book on forgiveness, demonstrating once again why he is called ""a spiritual genius,"" a ""master of meeting mankind eye to eye,"" and one of America's best preachers.
He understands that he and fellow Christians share spiritual truths ""that transcend time and culture and reflect a universal understanding of human nature."" The spiritual truth he explores in Let It Go concerns forgiveness and why it is important for those on the receiving end of wrongful behavior as well as those who commit acts of wrongdoing.
""Forgiveness is a big idea and it works best when it is invested into people who have the courage to grasp the seven-foot-high idea of what's best for their future rather than the four-foot-high idea of recompense for what has happened in their past,"" Jakes writes in Let It Go. This book explores forgiveness as an idea and at the same time offers specific and clear actions for readers who seek to apply the idea in their daily lives. Offenses are a part of life, he says. But conflicts can be resolved and relationships do have a future, if we learn how to forgive. No matter how great or small the injustice, Jakes shows how the matter can be put behind you for the sake of a better tomorrow if you can Let It Go.",72902,Atria Books,272.0,2012.0,13508720,795,T.D. Jakes,small
Rumours & Recklessness: A Pride and Prejudice Variation,74,4.08,"Fitzwilliam Darcy is desperate. Finally confronted with a woman who ignites all his hopes , he agonizes over the cruel trick of fate which placed her in a situation beneath his notice. The morning after the Netherfield ball, he resolves to put as much distance between himself and her as possible.
That very morning, however, Elizabeth's future is jeopardized by her father's untimely accident. With Mr Bennet unconscious and surrounded by concerned neighbors, Mr Collins presses his suit. Elizabeth's mother frantically demands her acceptance to secure the familiy's welfare. With so many witnesses to his proposal and everyone expecting her to make a practical choice, Elizabeth's reputation hangs in the balance.
Without her father to defend her refusal of Mr Collins, there is no one to speak up for her... except the last man in the world she would ever marry.",14175642,,462.0,2015.0,26832227,549,Nicole Clarkston,medium
D'un monde à l'autre (La Quête d'Ewilan #1),9,4.18,"""Quand Camille vit le poids lourd qui foncait droit sur elle, elle se figea au milieu de la chaussee. Son irrepressible curiosite l'empecha de fermer les yeux et elle n'eut pas le temps de crier...
Non, elle se retrouva couchee a plat ventre dans une foret inconnue plantee d'arbres immenses.
- Te voici donc, Ewilan. Nous t'avons longtemps cherchee, mes freres et moi, afin d'achever ce qui avait ete commence, mais tu etais introuvable... """,607615,Rageot,284.0,2003.0,3380644,79,Pierre Bottero,small
Mr. Tiger Goes Wild,673,4.17,"Are you bored with being so proper?
Do you want to have more fun?
Mr Tiger knows exactly how you feel. So he decides to go wild.
But does he go too far?
There is a time and place for everything...even going wild.",3092248,"Hachette Little, Brown & Co",40.0,2013.0,17333265,5688,Peter  Brown,small
A Face Like Glass,8,4.23,"In Caverna, lies are an art -- and everyone's an artist . . .
In the underground city of Caverna the world's most skilled craftsmen toil in the darkness to create delicacies beyond compare -- wines that can remove memories, cheeses that can make you hallucinate and perfumes that convince you to trust the wearer, even as they slit your throat. The people of Caverna are more ordinary, but for one thing: their faces are as blank as untouched snow. Expressions must be learned, and only the famous Facesmiths can teach a person to show (or fake) joy, despair or fear -- at a price.
Into this dark and distrustful world comes Neverfell, a little girl with no memory of her past and a face so terrifying to those around her that she must wear a mask at all times. For Neverfell's emotions are as obvious on her face as those of the most skilled Facesmiths, though entirely genuine. And that makes her very dangerous indeed ...",119830,Macmillan Children's Books,489.0,2013.0,17320735,51,Frances Hardinge,medium
Why Him?: We Belong Together,8,4.69,"ATTENTION: YAY-YAY, KEN, AND JAZZ FROM THE SALTY SERIES IS IN THIS BOOK WITH MAJOR DRAMA OF THEIR OWN!!!!!!
Donte wants Monica back, but she isn't trying to hear what he is talking about. His infidelity almost cost her her life. Not to mention the shame that came from all the chaos. Monica has a new boo that she is digging. He is young, sexy, handsome, and can put it down in the bedroom. When they are together he makes her feel like she is the only woman in the world who matters. She can see herself with him for a live time. Her girls claim, she is just a fool in love. They don't believe that Ahmad is into Monica like she is into him. His actions proves it, but Monica' heart says otherwise. Tiffany, her best friend really hopes Monica knows what she is doing by choosing dude over Donte. She believes that Donte has learned from his mistakes and they belong together. Besides, there is a new girl in town who goes by the name of Yay- Yay and if she plays her cards right Donte will be all hers.
Why Him? Is full of Drama that only love can cause. Find out what is going on with your old characters', your favorite characters' from the Salty series and meet new characters'... Its guaranteed drama.",4026176,Alana's Book Line ( ABL),235.0,2014.0,22469367,61,Aleta L. Williams,small
O Perfume: História de um Assassino,53,4.0,"Esta estranha historia passa-se no seculo XVIII e ha todo um extraordinario trabalho de reconstituicao historica, nao so da epoca e das mentalidades como do oficio de perfumista, que entao era particularmente valorizado e que estava a cargo de artesaos especializados. O autor conduz o leitor de pagina em agina, de odor, em odor, de perfume em perfume, enebriando-o, arrebatando-o nessa alquimica busca do Absoluto que e a do seu personagem: a busca do perfume ideal, isto e, a forma suprema da Beleza. Nesta busca nada detera Jean-Baptiste Grenouille - que nascera no meio dos mais nauseabundos fedores, numa banca de peixe -, nem mesmo os crimes mais hediondos. Este personagem possui no entanto algo de extremamente inquietante, a sua propria incorrupta pureza. E o primeiro romance publicado por Patrick Suskind, um alemao nascido na Baviera, que ate aqui escreve uma unica peca para o teatro. Com O Perfume, Suskind emergiu meteoricamente do anonimato. A critica internacional dos mais diversos sectores tem-no distinguido como um dos mais importantes romances desta decada, constituindo este livro um dos mais assombrosos casos de bestsellerdos ultimos tempos, em todo o mundo.",39402,Editorial Presenca,273.0,1994.0,2562708,945,Patrick Suskind,small
The Essence of Buddhism: An Introduction to Its Philosophy and Practice,6,4.01,"This lucid overview of the Buddhist path takes the perspective of the three ""vehicles"" of Tibetan Buddhism: the Hinayana, Mahayana, and Vajrayana. While these vehicles are usually presented as a historical development, they are here equated with the attitudes that individuals bring to their Buddhist practice. Basic to them all, however, is the need to understand our own immediate condition. The primary tool for achieving this is meditation, and The Essence of Buddhism serves as a handbook for the various meditative approaches of Buddhist practice.
Beginning with the Four Noble Truths, Traleg Rinpoche incorporates the expansive vision of the bodhisattva path and the transformative vision of Tantra. The final chapters present the transcendent view of Mahamudra. This view dispenses with all dualistic fixations and directly realizes the natural freedom of the mind itself.
Along the way, the author provides vivid definitions of fundamental concepts such as compassion, emptiness, and Buddha-nature, and answers common questions: Why does Buddhism teach that there is ""no self""? Are Buddhist teachings pessimistic? Does Buddhism encourage social passivity? What is the role of sex in Buddhist Tantra? Why is it said that ""samsara is nirvana""? Does it take countless lifetimes to attain enlightenment, or can it be achieved in a moment?",103222,Shambhala,188.0,2001.0,418421,75,Traleg Kyabgon,small
Ways of Staying,7,4.05,"After the brutal, random murder of his cousin, Kevin Bloom was left with shock, grief, and angerApartheid South Africa. But when his own cousin was killed in a vicious random attack, the questions he'd been asking about the troubling political and social changes in his country took on a sickeningly personal urgency. Suddenly, it felt as though this South Africa was no longer the place he'd grown up in or the place which felt like home. Still stunned by the loss, Bloom begins to trace the path of violence from the murder of his cousin in the hills of Zululand to the fatal shooting of the historian David Rattray, linking these individual crimes to the riven political landscape, and the riots and xenophobic attacks of 2008. Visceral, complicated, and compassionate, Ways of Staying is an eloquent account of how the white community is coping with black majority rule, and in particular how one family is coping in the aftermath of their own private tragedy.",3424439,Granta UK,240.0,2010.0,7872833,58,Kevin Bloom,small
Intimate Details,7,4.38,"As a computer hacker, she demands justice.
As a woman, she craves two powerful and commanding men.
Shana's been hacking one of Manhattan's most corrupt executives, making him pay for what he's done to his victims. Using her skills, she convinces Mike and Cody to hire her at their intelligence-gathering firm, where intimate details help their clients.
Never has Mike met a woman as delicious as Shana. Smart as hell, curvy and assured, she'd be a delightful challenge in bed. Cody's carnal hunger is equally intense. He and Mike want to know everything about her.
She won't divulge the secrets of her past. All she can offer is unquenchable desire and her heart.
During weeks of shameless lust and pleasure, Mike and Cody peel away the layers of Shana's life. The stunning truth changes everything. They'll do all that they can to keep her safe...and in their arms.",146988,Siren-Bookstrand,200.0,2014.0,23481181,8,Tina Donahue,small
"Massacre at Goliad (Buckalew Family, #2)",7,4.05,"When Texan-born Josh Buckalew met Teresa, a young and beautiful Mexican woman, it was love at first sight. But with the Alamo recently sieged and destroyed, Josh knew this rosebud love would be unobtainable on account of the war thorns harrowing the country.
So the Buckalew brothers, Josh and Thomas, along with Josh's friend Muley, the man-child, come together with other Texans to protect their land at Goliad against the Mexicans who have just ravished the Alamo.
But what's at stake for Josh? Will he listen to his brother and become a war hero, eradicating Mexican control? Or will he follow his heart and take Teresa far, far away from all of the bloodshed?",28018,Forge Books,224.0,1999.0,810505,73,Elmer Kelton,small
"The Magic (The Secret, #3)",562,4.15,"In 28 days, you can take a journey that will change your life. Long ago, sacred texts held secrets we can unravel today. One word can change your life.",29655,Atria,272.0,2012.0,13237327,8324,Rhonda Byrne,small
Jezik cvijeća,6,4.07,"Je li ruza uistinu samo ruza, ili se ljudi ipak mijenjaju?
Krajnje dirljivi prvijenac Vanesse Diffenbaugh prati zivot Victorije Jones koja je s navrsenih osamnaest godina prisiljena iseliti se iz sirotista. Ogorcena i nepovjerljiva, Victoria otkriva jedini nacin izrazavanja vlastitih osjecaja zaboravljenim jezikom cvijeca na kojemu, primjerice, kozja krv oznacuje predanost, a crvene ruze iskrenu ljubav. Zaposlivsi se kao pomocnica u jednoj cvjecarnici, Victoria upoznaje veletrgovca cvijecem koji bi mogao odigrati odlucujucu ulogu u njezinu prevladavanju tajna iz proslosti. Hoce li prepoznati drugu priliku za srecu?",4537214,Znanje,337.0,2011.0,13184934,57,Vanessa Diffenbaugh,medium
"Road Rage (London Underground, #3)",6,4.0,"Eli and Ronnie are two British ex-cons on the road in America. Their mission is to find Trent, a guy who screwed them over and disappeared. But now, after 40 hours driving through yellow and beige desert, eating at lonely motels, what seemed real is no longer certain. Where did Trent stay? What did he do? Did he even exist at all? Leaving violent killings in their wake, Ronnie and Eli can do nothing except keep traveling. Now, trapped in a nightmarish road trip full of violence and deceit, these two men must confront their own personal demons before they can come home.",6441292,Head of Zeus,352.0,2017.0,29501402,9,Hanna Jameson,medium
Kolme muskettisoturia,7,4.06,"One of the most celebrated & popular historical romances ever written. The Three Musketeers tell the story of the early adventures of the young Gascon gentleman d'Artagnan & his three friends from the regiment of the King's Musketeers-Athos, Porthos & Aramis.
Under the watchful eye of their patron M. de Treville, the four defend the honour of the regiment against the guards of the Cardinal Richelieu, & the honor of the queen against the machinations of the Cardinal himself as the power struggles of 17th-century France are vividly played out in the background.
But their most dangerous encounter is with the Cardinal's spy. Milady, one of literature's most memorable female villains, & Alaxandre Dumas employs all his fast-paced narrative skills to bring this enthralling novel to a breathtakingly gripping & dramatic conclusion.",4785,WSOY,558.0,1986.0,12171423,66,Alexandre Dumas,medium
Bayou Farewell: The Rich Life and Tragic Death of Louisiana's Cajun Coast,79,4.25,"The Cajun coast of Louisiana is home to a way of life as unique, complex, and beautiful as the terrain itself. As award-winning travel writer Mike Tidwell journeys through the bayou, he introduces us to the food and the language, the shrimp fisherman, the Houma Indians, and the rich cultural history that makes it unlike any other place in the world. But seeing the skeletons of oak trees killed by the salinity of the groundwater, and whole cemeteries sinking into swampland and out of sight, Tidwell also explains why each introduction may be a farewell--as the storied Louisiana coast steadily erodes into the Gulf of Mexico.
Part travelogue, part environmental expose, Bayou Farewellis the richly evocative chronicle of the author's travels through a world that is vanishing before our eyes.",65619,Vintage,384.0,2004.0,147124,563,Mike Tidwell,medium
"Shift (The Protector, #2)",95,4.0,"Devastated by a terrible loss, Chase is trying to balance the life he's been left with, a family he's still getting to know, and power he never thought he'd have. He doesn't understand why the Goddess has named him the Protector and granted him two gifts: the Mark, a tattoo that now covers his back, and the ring. But between getting interrogated by the Circle and psychic attacks from Riley, the Mark is the least of his concern. There's a demon inside Rayna that's fighting to be released, and it's not her inner witch. It's something else--a monster threatening to tear her apart.
As Chase struggles to control his magic, his enemies are closing in. Everyone has staked a claim on his ring, and destroying it may be his only chance to stop Riley. But Chase must decide if stopping him is worth risking the lives of everyone he cares about, or if protecting the ring will be enough to save his world.",4968404,M.R. Merrick,350.0,2012.0,13409819,948,M.R. Merrick,medium
12 Hours in Paradise,68,4.33,"Twelve hours, thirty-six questions, and a chance to fall in love... It's the last day of Dorothy Patmont's family vacation. Soon, she must head back to Reno, where all that waits for her is the cold and the snow. To top it all off, her brother, Chester, acted like a little jerk and ate one too many cookies from the sample jar in the cookie store. But his antics have an unexpected benefit-attracting the attention of an intriguing boy who could change her life forever. Treats can be sweet, but love is sweeter still... Arash Atkinson, fluent in four languages and an adventurous soul, is in Waikiki for a high school band competition. When he meets Dorothy, he realizes their time together is limited. ""Come out and play,"" he texts her. A night of romantic adventure ensues, and Arash discovers an app that claims it can make people fall in love after answering thirty-six questions in each other's presence. With each question asked, their stories and feelings continue to unfold. But with every hour that passes they're more at risk of being found out-Dorothy, by her parents, and Arash by his school chaperone. And then Arash gets the dreaded phone call-he has been discovered missing from his room, and must return immediately. Can they finish the questions before facing their consequences? When time is running out, true love cannot wait. What Arash and Dorothy have is beyond special, something that comes along once in a lifetime, and begins with Twelve Hours In Paradise...but can it survive the trials of the real world?",5228206,"Limitless Publishing, LLC",194.0,2016.0,29902036,78,Kathryn Berla,small
"Gabriel's Hope (Rhyn Eternal, #1)",81,4.23,"The continuation of the Rhyn Trilogy saga.
Death Finds Love.
Recently appointed as Death, Gabriel's life can't get much worse. His underworld is in shambles, and he's racing demons to collect souls in the human world. To add to his mess, he discovers that his predecessor raised an unwelcome Immortal from the dead, one who threatens the Immortal Council that his friend, the Ancient Rhyn, is trying to hold together. When the underworld shuts Gabriel out, he's convinced he's hit rock bottom. Until he meets her, and he realizes things can get worse. Much worse.
Now in human form, Deidre - Gabriel's predecessor and long-time tormenter - is dying from a brain tumor. Rather than mourn, she decides to enjoy the rest of her short life by checking off every box on her bucket list. Little does she suspect that a weekend getaway to the beach will throw her into the hands of Death himself and overturn everything she knows about her world. Deidre has no idea who she was in her past life, but she must learn fast, or she'll never understand why the Immortals, demons and Death alike are after her. The secret is buried in her head, and the only way to uncover it will kill her.
To survive, she must reach the wounded man behind the mask of Death and show him that the world is filled with more than tragedy and pain.",4558309,Guerrilla Wordfare,266.0,2013.0,17230517,765,Lizzy Ford,small
Math: A Book You Can Count On,6,4.16,"Meet Zero, a bubbly fellow who will dissolve you to nothing, and say hello to the all-action Units, who just love to measure. Get a load of greedy Multiply, a big guy who hoards numbers together, and stand amazed by mysterious Pi, who goes on and on and on . . . to Infinity! 
Multiply your number know-how with Basher's unique one-stop guide to the building blocks of mathematics. Packed with top tips and memorable characters, this is an essential book for students ages 8 and up.",4915770,Kingfisher,64.0,2010.0,7321637,97,Simon Basher,small
Pharmacology Recall,8,4.23,"Written with busy medical students and house officers in mind, Pharmacology Recallminimizes the time spent reading and identifying important material and maximizes the time available for actual learning. As part of Lippincott Williams & Wilkins' Recall Series, Pharmacology Recalluses the concise, two-column question-and-answer format to facilitate quick learning. Common Board questions and mnemonics appear throughout the book to facilitate memorization and illustrations are provided to clarify important concepts. A Pharmacology Power Review chapter presents a unique bird's-eye view of pharmacology and can be used to review large amounts of high-yield information quickly before medical school and USMLE exams.",73495,LWW,544.0,2006.0,766138,59,Anand Ramachandran,medium
"Sweet Home Cowboy (Love at the Chocolate Shop, #9)",56,4.46,"When Marietta newcomer Elena Puente is coerced into attending a speed dating event at the popular Copper Mountain Chocolate Shop, she's blindsided by a serious attraction to local cowboy, Wesley Banks.
Still recovering from a broken engagement, the first-grade teacher from Las Vegas isn't looking for romance. She's in Montana to get to know the great-grandfather she never knew existed until she found some hidden family letters. Judge Kingsley is a grouchy recluse and he's far from welcoming, but Elena is determined to stay in town long enough to give his neglected estate on Bramble Lane a facelift.
Elena's resolve to avoid romance is tested when she discovers Wesley is the caretaker of her grandfather's rural property. Soon, she and the cowboy are attending more speed dating events at the chocolate shop and she's seeking his advice on how to deal with his ornery boss. Local gossips wager the old Judge will run Elena out of town before anything serious develops between her and Wesley. But Wesley's a determined man, too, and he's betting Elena belongs in Marietta forever...with him.",323927,Tule Publishing,252.0,2017.0,34818716,79,Marin Thomas,small
Deep Burn (Station Seventeen #2),60,4.39,"Firefighter Shae McCullough is all-in, all the time. When her reckless response at a fire earns her a two-week penance filing paperwork for the arson investigation unit, the rules and routines are enough to bore her senseless. But the discovery of a possible arson at a murder scene has her instincts fired up, and when Shae is assigned to assist Remington's elite intelligence unit with their investigation, she's all too ready to jump in with both boots first.
To tech and surveillance expert James Capelli, logic isn't just a job requirement, it's a way of life. He's less than thrilled to work with Shae, whose impulsiveness threatens his sanity and whose curves threaten his composure. Despite their differences, they uncover a case bigger than anyone could have expected--along with an attraction that burns deep.
But this killer is no stranger, and Capelli's got a dark past. Can he and Shae outsmart a ruthless murderer, or will his secrets bury them both?",6938229,Kimberly Kincaid Romance,328.0,2017.0,34382839,89,Kimberly Kincaid,medium
Acts of War (Usurper's War #2),8,4.18,"Somehow I doubt that this is quite how anyone expected Adolf Hitler's death to turn out...--Squadron Leader Adam Haynes, No. 303 (Polish) Squadron
August 1942. London is in flames. Heinrich Himmler's Germany stands triumphant in the West, its ""Most Dangerous Enemy"" forced to the peace table by a hailstorm of nerve gas and incendiaries. With Adolf Hitler avenged and portions of the Royal Navy seized as war prizes, Nazi Germany casts its baleful gaze across the Atlantic towards an increasingly isolationist United States. With no causus belli, President Roosevelt must convince his fellow Americans that it is better to deal with a triumphant Germany now than to curse their children with the problem of a united, fascist Europe later.
As Germany and Japan prepare to launch the next phase of the conflict, Fate forces normal men and women to make hard choices in hopes of securing a better future. For Adam Haynes, Londonfall means he must continue an odyssey that began in the skies over Spain. American naval officer Eric Cobb finds that neutrality is a far cry from safety. Finally, Rear Admiral Tamon Yamaguchi must prepare himself and his men to fight a Pacific War that is far different than the surprise attack Imperial Japan had once planned but never executed.
Acts of War is the continuation of the Usurper's War series, which charts a very different World War II. As young men and women are forced to answer their nation's call, the choices they make and risks they take will write a different song for the Greatest Generation.",6653832,Amazon Kindle,365.0,2014.0,23497750,71,James L. Young Jr.,medium
"The Hard Way (Jack Reacher, #10)",9,4.15,"In Lee Child's astonishing new thriller, ex-military cop Reacher sees more than most people would...and because of that, he's thrust into an explosive situation that's about to blow up in his face. For the only way to find the truth--and save two innocent lives--is to do it the way Jack Reacher does it best: the hard way....Jack Reacher was alone, the way he liked it, soaking up the hot, electric New York City night, watching a man cross the street to a parked Mercedes and drive it away. The car contained one million dollars in ransom money. And Edward Lane, the man who paid it, will pay even more to get his family back. Lane runs a highly illegal soldiers-for-hire operation. He will use any amount of money and any tool to find his beautiful wife and child. And then he'll turn Jack Reacher loose with a vengeance--because Reacher is the best man hunter in the world.On the trail of a vicious kidnapper, Reacher is learning the chilling secrets of his employer's past...and of a horrific drama in the heart of a nasty little war. He's beginning to realize that Edward Lane is hiding something. Something dirty. Something big. But Reacher also knows this: he's already in way too deep to stop now.",5091,,397.0,,1126999,65,Lee Child,medium
To Thee Is This World Given,7,4.38,"Provocative Novella Reveals the Complex Humanity of Survivors in a Post-Apocalyptic World
Two strangers intent upon their own survival meet on the road amid a pile of fallen corpses. As one flees the other, their tense and dramatic encounter begins. And over the next 24 hours they will force each other to confront what it means to be human in a world haunted by the dead.
In fluid, effortless prose, Milam gives readers a glimpse at the lives of a handful of survivors of a zombie apocalypse.
Always driving forward with no extraneous motion, To Thee Is This World Given is brilliantly imagined, expertly told and hard to put down.
With skillful dialog and exceptional description, Milam has created memorable, fully realized characters in a vivid world that is thoroughly grounded in the genre's tradition, but that is anything but cliched.
With overt nods to both The Walking Deadand The Road, those stalwarts of the unrelentingly nihilistic vision of human nature dominating the genre, Milam has taken up Daniel Drezner's call for post-apocalyptic narratives showcasing ""the adaptability, ingenuity, and creativity of human beings,"" joining the ranks of such authors as Kim Stanley Robinson and Cory Doctorow.",14078415,Eponym,107.0,2015.0,25700137,9,Khel Milam,small
"Rune, Episode IV: Entombed (Rune, #4)",6,4.46,"Jake and his friends barely survive the retrieval of the first scroll in Atlanta, and it becomes apparent that they have no time to waste in finding all of the scrolls if they are to complete their mission. With that knowledge, they head to their next destination, The Saint Louis cemetery in New Orleans, Louisiana where Jake will have to use his newly acquired abilities to recover the next scroll in broad daylight at yet another tourist attraction.
Meanwhile, Seraphine has decided that the only way to destroy her Nemesis is to do it herself, as she and her minions strike out for the United States and the land of Mardi Gras in a stolen private jet.
Will Jake and his group of friends manage to get there first and claim the scroll, or will a gang of demon possessed, biker outlaws keep them from reaching their destination in time?
This action packed episode marks the end of the first part of RUNE. To be resumed in Episode V: Sacrifice.",5198413,"Mostcool Media, Inc.",78.0,2014.0,20986695,8,J.H. Glaze,small
Chess for Zebras,6,4.35,"Jonathan Rowson, author of the highly acclaimed Seven Deadly Chess Sins, investigates three questions important to all chess-players:
1) Why is it so difficult, especially for adult players, to improve?
2) What kinds of mental attitudes are needed to find good moves in different phases of the game?
3) Is White's alleged first-move advantage a myth, and does it make a difference whether you are playing Black or White?
In a strikingly original work, Rowson makes use of his academic background in philosophy and psychology to answer these questions in an entertaining and instructive way. This book assists all players in their efforts to improve, and provides fresh insights into the opening and early middlegame.
Rowson presents many new ideas on how Black should best combat White's early initiative, and make use of the extra information that he gains as a result of moving second. For instance, he shows that in some cases a situation he calls 'Zugzwang Lite' can arise, where White finds himself lacking any constructive moves. He also takes a close look at the theories of two players who, in differing styles, have specialized in championing Black's cause: Mihai Suba and Andras Adorjan. Readers are also equipped with a 'mental toolkit' that will enable them to handle many typical over-the-board situations with greater success, and avoid a variety of psychological pitfalls.
Chess for Zebrasoffers fresh insights into human idiosyncrasies in all phases of the game. The depth and breadth of this book will therefore help players to appreciate chess at a more profound level, and make steps towards sustained and significant improvement.",188,Gambit Publications,255.0,2003.0,328,52,Jonathan Rowson,small
Same Kind of Different Like Me,7,4.22,"Meet Denver, a man raised under plantation-style slavery in Louisiana in the 1960s; a man who escaped, hopping a train to wander, homeless, for eighteen years on the streets of Dallas, Texas. No longer a slave, Denver's life was still hopeless--until God moved. First came a godly woman who prayed, listened, and obeyed. And then came her husband, Ron, an international arts dealer at home in a world of Armani-suited millionaires. And then they all came together.
But slavery takes many forms. Deborah discovers that she has cancer. In the face of possible death, she charges her husband to rescue Denver. Who will be saved, and who will be lost? What is the future for these unlikely three? What is God doing?
Same Kind of Different As Meis the emotional tale of their story: a telling of pain and laughter, doubt and tears, dug out between the bondages of this earth and the free possibility of heaven. No reader or listener will ever forget it.",60229,,237.0,2006.0,10740411,52,Ron Hall,small
Roald Dahl's Revolting Rhymes,6,4.14,"I guess you think you know this story.
You don't. The real one's much more gory.
The phoney one, the one you know,
Was cooked up years and years ago. . . .
With his famous wicked humor and the cunning of a big bad wolf, master storyteller and satirist Roald Dahl retells his six favorite fairy tales. Get ready for Dahl's diabolical version of what really happened to Cinderella, Goldilocks, the Three Little Pigs, Jack and the Beanstalk, Snow White, and Little Red Riding Hood.",4273,Bantam Skylark,54.0,1986.0,1942746,68,Roald Dahl,small
